in s,C1 in V
-6.78880E-06,2.310E-01
-6.78840E-06,2.281E-01
-6.78800E-06,2.339E-01
-6.78760E-06,2.300E-01
-6.78720E-06,2.329E-01
-6.78680E-06,2.339E-01
-6.78640E-06,2.310E-01
-6.78600E-06,2.320E-01
-6.78560E-06,2.329E-01
-6.78520E-06,2.310E-01
-6.78480E-06,2.320E-01
-6.78440E-06,2.310E-01
-6.78400E-06,2.300E-01
-6.78360E-06,2.310E-01
-6.78320E-06,2.339E-01
-6.78280E-06,2.310E-01
-6.78240E-06,2.329E-01
-6.78200E-06,2.300E-01
-6.78160E-06,2.339E-01
-6.78120E-06,2.329E-01
-6.78080E-06,2.320E-01
-6.78040E-06,2.339E-01
-6.78000E-06,2.310E-01
-6.77960E-06,2.339E-01
-6.77920E-06,2.300E-01
-6.77880E-06,2.359E-01
-6.77840E-06,2.310E-01
-6.77800E-06,2.300E-01
-6.77760E-06,2.300E-01
-6.77720E-06,2.329E-01
-6.77680E-06,2.320E-01
-6.77640E-06,2.339E-01
-6.77600E-06,2.310E-01
-6.77560E-06,2.320E-01
-6.77520E-06,2.310E-01
-6.77480E-06,2.320E-01
-6.77440E-06,2.290E-01
-6.77400E-06,2.300E-01
-6.77360E-06,2.310E-01
-6.77320E-06,2.320E-01
-6.77280E-06,2.300E-01
-6.77240E-06,2.329E-01
-6.77200E-06,2.339E-01
-6.77160E-06,2.329E-01
-6.77120E-06,2.320E-01
-6.77080E-06,2.320E-01
-6.77040E-06,2.320E-01
-6.77000E-06,2.329E-01
-6.76960E-06,2.290E-01
-6.76920E-06,2.290E-01
-6.76880E-06,2.310E-01
-6.76840E-06,2.281E-01
-6.76800E-06,2.300E-01
-6.76760E-06,2.281E-01
-6.76720E-06,2.310E-01
-6.76680E-06,2.329E-01
-6.76640E-06,2.310E-01
-6.76600E-06,2.329E-01
-6.76560E-06,2.339E-01
-6.76520E-06,2.290E-01
-6.76480E-06,2.310E-01
-6.76440E-06,2.310E-01
-6.76400E-06,2.310E-01
-6.76360E-06,2.310E-01
-6.76320E-06,2.310E-01
-6.76280E-06,2.320E-01
-6.76240E-06,2.329E-01
-6.76200E-06,2.310E-01
-6.76160E-06,2.310E-01
-6.76120E-06,2.329E-01
-6.76080E-06,2.271E-01
-6.76040E-06,2.310E-01
-6.76000E-06,2.329E-01
-6.75960E-06,2.290E-01
-6.75920E-06,2.329E-01
-6.75880E-06,2.300E-01
-6.75840E-06,2.310E-01
-6.75800E-06,2.300E-01
-6.75760E-06,2.300E-01
-6.75720E-06,2.300E-01
-6.75680E-06,2.310E-01
-6.75640E-06,2.290E-01
-6.75600E-06,2.310E-01
-6.75560E-06,2.329E-01
-6.75520E-06,2.329E-01
-6.75480E-06,2.310E-01
-6.75440E-06,2.329E-01
-6.75400E-06,2.310E-01
-6.75360E-06,2.349E-01
-6.75320E-06,2.339E-01
-6.75280E-06,2.320E-01
-6.75240E-06,2.310E-01
-6.75200E-06,2.310E-01
-6.75160E-06,2.310E-01
-6.75120E-06,2.320E-01
-6.75080E-06,2.320E-01
-6.75040E-06,2.310E-01
-6.75000E-06,2.310E-01
-6.74960E-06,2.310E-01
-6.74920E-06,2.349E-01
-6.74880E-06,2.310E-01
-6.74840E-06,2.339E-01
-6.74800E-06,2.310E-01
-6.74760E-06,2.320E-01
-6.74720E-06,2.349E-01
-6.74680E-06,2.339E-01
-6.74640E-06,2.339E-01
-6.74600E-06,2.310E-01
-6.74560E-06,2.310E-01
-6.74520E-06,2.310E-01
-6.74480E-06,2.290E-01
-6.74440E-06,2.290E-01
-6.74400E-06,2.329E-01
-6.74360E-06,2.329E-01
-6.74320E-06,2.339E-01
-6.74280E-06,2.329E-01
-6.74240E-06,2.310E-01
-6.74200E-06,2.320E-01
-6.74160E-06,2.300E-01
-6.74120E-06,2.300E-01
-6.74080E-06,2.320E-01
-6.74040E-06,2.339E-01
-6.74000E-06,2.290E-01
-6.73960E-06,2.290E-01
-6.73920E-06,2.320E-01
-6.73880E-06,2.310E-01
-6.73840E-06,2.329E-01
-6.73800E-06,2.290E-01
-6.73760E-06,2.320E-01
-6.73720E-06,2.339E-01
-6.73680E-06,2.310E-01
-6.73640E-06,2.310E-01
-6.73600E-06,2.300E-01
-6.73560E-06,2.310E-01
-6.73520E-06,2.281E-01
-6.73480E-06,2.320E-01
-6.73440E-06,2.320E-01
-6.73400E-06,2.349E-01
-6.73360E-06,2.320E-01
-6.73320E-06,2.339E-01
-6.73280E-06,2.359E-01
-6.73240E-06,2.349E-01
-6.73200E-06,2.349E-01
-6.73160E-06,2.329E-01
-6.73120E-06,2.310E-01
-6.73080E-06,2.281E-01
-6.73040E-06,2.290E-01
-6.73000E-06,2.290E-01
-6.72960E-06,2.329E-01
-6.72920E-06,2.329E-01
-6.72880E-06,2.329E-01
-6.72840E-06,2.300E-01
-6.72800E-06,2.300E-01
-6.72760E-06,2.359E-01
-6.72720E-06,2.329E-01
-6.72680E-06,2.281E-01
-6.72640E-06,2.329E-01
-6.72600E-06,2.310E-01
-6.72560E-06,2.320E-01
-6.72520E-06,2.290E-01
-6.72480E-06,2.300E-01
-6.72440E-06,2.290E-01
-6.72400E-06,2.290E-01
-6.72360E-06,2.300E-01
-6.72320E-06,2.320E-01
-6.72280E-06,2.329E-01
-6.72240E-06,2.329E-01
-6.72200E-06,2.320E-01
-6.72160E-06,2.290E-01
-6.72120E-06,2.300E-01
-6.72080E-06,2.339E-01
-6.72040E-06,2.300E-01
-6.72000E-06,2.320E-01
-6.71960E-06,2.329E-01
-6.71920E-06,2.329E-01
-6.71880E-06,2.310E-01
-6.71840E-06,2.310E-01
-6.71800E-06,2.290E-01
-6.71760E-06,2.320E-01
-6.71720E-06,2.310E-01
-6.71680E-06,2.310E-01
-6.71640E-06,2.349E-01
-6.71600E-06,2.339E-01
-6.71560E-06,2.339E-01
-6.71520E-06,2.329E-01
-6.71480E-06,2.320E-01
-6.71440E-06,2.369E-01
-6.71400E-06,2.320E-01
-6.71360E-06,2.310E-01
-6.71320E-06,2.310E-01
-6.71280E-06,2.300E-01
-6.71240E-06,2.290E-01
-6.71200E-06,2.320E-01
-6.71160E-06,2.339E-01
-6.71120E-06,2.290E-01
-6.71080E-06,2.300E-01
-6.71040E-06,2.300E-01
-6.71000E-06,2.290E-01
-6.70960E-06,2.310E-01
-6.70920E-06,2.329E-01
-6.70880E-06,2.320E-01
-6.70840E-06,2.339E-01
-6.70800E-06,2.320E-01
-6.70760E-06,2.290E-01
-6.70720E-06,2.310E-01
-6.70680E-06,2.339E-01
-6.70640E-06,2.329E-01
-6.70600E-06,2.339E-01
-6.70560E-06,2.329E-01
-6.70520E-06,2.320E-01
-6.70480E-06,2.300E-01
-6.70440E-06,2.310E-01
-6.70400E-06,2.310E-01
-6.70360E-06,2.320E-01
-6.70320E-06,2.300E-01
-6.70280E-06,2.310E-01
-6.70240E-06,2.300E-01
-6.70200E-06,2.320E-01
-6.70160E-06,2.310E-01
-6.70120E-06,2.329E-01
-6.70080E-06,2.300E-01
-6.70040E-06,2.281E-01
-6.70000E-06,2.310E-01
-6.69960E-06,2.281E-01
-6.69920E-06,2.300E-01
-6.69880E-06,2.320E-01
-6.69840E-06,2.290E-01
-6.69800E-06,2.310E-01
-6.69760E-06,2.310E-01
-6.69720E-06,2.320E-01
-6.69680E-06,2.290E-01
-6.69640E-06,2.329E-01
-6.69600E-06,2.320E-01
-6.69560E-06,2.349E-01
-6.69520E-06,2.310E-01
-6.69480E-06,2.329E-01
-6.69440E-06,2.310E-01
-6.69400E-06,2.310E-01
-6.69360E-06,2.349E-01
-6.69320E-06,2.300E-01
-6.69280E-06,2.329E-01
-6.69240E-06,2.339E-01
-6.69200E-06,2.290E-01
-6.69160E-06,2.320E-01
-6.69120E-06,2.339E-01
-6.69080E-06,2.310E-01
-6.69040E-06,2.310E-01
-6.69000E-06,2.300E-01
-6.68960E-06,2.290E-01
-6.68920E-06,2.320E-01
-6.68880E-06,2.271E-01
-6.68840E-06,2.310E-01
-6.68800E-06,2.329E-01
-6.68760E-06,2.310E-01
-6.68720E-06,2.339E-01
-6.68680E-06,2.310E-01
-6.68640E-06,2.339E-01
-6.68600E-06,2.271E-01
-6.68560E-06,2.290E-01
-6.68520E-06,2.290E-01
-6.68480E-06,2.300E-01
-6.68440E-06,2.290E-01
-6.68400E-06,2.271E-01
-6.68360E-06,2.310E-01
-6.68320E-06,2.300E-01
-6.68280E-06,2.281E-01
-6.68240E-06,2.300E-01
-6.68200E-06,2.300E-01
-6.68160E-06,2.300E-01
-6.68120E-06,2.329E-01
-6.68080E-06,2.320E-01
-6.68040E-06,2.300E-01
-6.68000E-06,2.310E-01
-6.67960E-06,2.320E-01
-6.67920E-06,2.310E-01
-6.67880E-06,2.290E-01
-6.67840E-06,2.310E-01
-6.67800E-06,2.320E-01
-6.67760E-06,2.310E-01
-6.67720E-06,2.329E-01
-6.67680E-06,2.300E-01
-6.67640E-06,2.329E-01
-6.67600E-06,2.300E-01
-6.67560E-06,2.310E-01
-6.67520E-06,2.310E-01
-6.67480E-06,2.329E-01
-6.67440E-06,2.310E-01
-6.67400E-06,2.329E-01
-6.67360E-06,2.290E-01
-6.67320E-06,2.310E-01
-6.67280E-06,2.339E-01
-6.67240E-06,2.290E-01
-6.67200E-06,2.310E-01
-6.67160E-06,2.310E-01
-6.67120E-06,2.290E-01
-6.67080E-06,2.281E-01
-6.67040E-06,2.300E-01
-6.67000E-06,2.310E-01
-6.66960E-06,2.281E-01
-6.66920E-06,2.290E-01
-6.66880E-06,2.300E-01
-6.66840E-06,2.300E-01
-6.66800E-06,2.329E-01
-6.66760E-06,2.320E-01
-6.66720E-06,2.339E-01
-6.66680E-06,2.310E-01
-6.66640E-06,2.310E-01
-6.66600E-06,2.339E-01
-6.66560E-06,2.320E-01
-6.66520E-06,2.320E-01
-6.66480E-06,2.310E-01
-6.66440E-06,2.290E-01
-6.66400E-06,2.320E-01
-6.66360E-06,2.320E-01
-6.66320E-06,2.290E-01
